06/01,-0.0043333333,-5.36,28.6831654444,1.6575972559
07/01,-0.1346666667,-1.61,2.1766084444,-25.5143490094
08/01,-1.2915,-1.97,0.46036225,-2.5727790744
09/01,-2.2133333333,-3.92,2.9127111111,-1.4044298485
10/01,-4.1613333333,-5.14,0.9577884444,2.411392691
11/01,-4.9188333333,-6.03,1.2346913611,1.0329303888
12/01,-4.1708333333,-6.5,5.4250173611,1.0239736544
01/02,-3.9378333333,-2.74,1.4348046944,-1.0864373729
02/02,-4.2475,-1.94,5.32455625,-2.7710588826
03/02,-3.439,-2.95,0.239121,-1.0186388468
04/02,-4.3546666667,-4.64,0.0814151111,-13.8263295001
05/02,-3.1711666667,-0.48,7.2423780278,1.1274021692
06/02,0.3075,-3.29,12.94200625,-1.0111143438
07/02,-0.5876666667,-1.24,0.4255387778,3.0788529546
08/02,-1.4653333333,-1.49,0.0006084444,12.3902765961
09/02,-1.8466666667,-4.54,7.2540444444,-5.8296662447
10/02,-3.9273333333,-3.03,0.8052071111,-1.0062589319
11/02,-4.2253333333,-3.21,1.0309017778,-1.0023443534
12/02,-5.3031666667,-6.66,1.8409966944,1.0754522014
01/03,-3.4108333333,-4.43,1.0387006944,-3.5887210757
02/03,-4.9861666667,-5.41,0.1796346944,1.5566900008
03/03,-5.3913333333,-3.76,2.6612484444,-1.2272908065
04/03,-4.5878333333,-3.36,1.5075746944,-1.0243343158
05/03,-4.2773333333,-5.71,2.0525337778,1.190224241
06/03,0.4305,-2.03,6.05406025,-2.256142494
07/03,-0.498,-3.11,6.822544,-1.0004992555
08/03,-1.1081666667,1.97,9.4751100278,-2.5727790744
09/03,-4.2191666667,-3.9,0.1018673611,-1.3775389168
10/03,-4.031,-3.32,0.505521,-1.0161284201
11/03,-4.4285,-3.43,0.99700225,-1.0430812556
12/03,-4.671,-6.39,2.954961,1.0057319353
01/04,-4.1773333333,-1.75,5.8919471111,-5.6102223208
02/04,-4.4185,-4.38,0.00148225,-3.0646439618
03/04,-3.7518333333,-3.71,0.0017500278,-1.1865783456
04/04,-5.2818333333,-5.36,0.0061100278,1.6575972559
05/04,-3.8135,-2.61,1.44841225,-1.1600916809
06/04,-2.4391666667,-5.47,9.1859506944,1.455206146
07/04,-1.0321666667,-1.45,0.1745846944,8.2985644666
08/04,-1.2283333333,1.27,6.2416694444,3.375175691
09/04,-2.5283333333,-1.02,2.2750694444,1.9107089363
10/04,-4.1045,-5.93,3.33245025,1.0657848058
11/04,-4.8296666667,-2.65,4.7509467778,-1.1343241784
12/04,-4.3061666667,-1.94,5.5987446944,-2.7710588826
01/05,-3.8178333333,-5.35,2.3475346944,1.6798886559
02/05,-4.3225,-5.61,1.65765625,1.2790346269
03/05,-4.7646666667,-2.36,5.7824217778,-1.4088623374
04/05,-4.0341666667,-4.82,0.6175340278,9.3106880335
05/05,-2.8226666667,-4.67,3.4126404444,-23.5981032017
06/05,0.1016666667,-0.84,0.8867361111,1.4982107786
07/05,0.1453333333,-2.84,8.9122151111,-1.0472688828
08/05,-2.6811666667,-1.22,2.1350080278,2.9099734559
09/05,-2.4408333333,-5.44,8.9950006944,1.5035615011
10/05,-2.779,-2.47,0.095481,-1.2774138495
11/05,-5.0545,-3.32,3.00849025,-1.0161284201
12/05,-4.494,-4.34,0.023716,-2.748447947
,,,4.2946498512,1
